temp,hum,atm,speed
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
17,34,1018,3.1
